時間,縣市,鄉鎮,天氣,氣溫(°C),濕度(%)
2025-08-05 05:49:28,新北市,八里區,陰有雷,25.6,93
2025-08-05 05:49:28,花蓮縣,秀林鄉,陰,23.2,97
2025-08-05 05:49:28,花蓮縣,秀林鄉,陰,29.7,81
2025-08-05 05:49:28,花蓮縣,秀林鄉,陰,22.9,96
2025-08-05 05:49:28,臺中市,和平區,陰,18.0,93
2025-08-05 05:49:28,臺中市,和平區,陰,-99,-99
2025-08-05 05:49:28,臺中市,和平區,陰,13.8,93
2025-08-05 05:49:28,臺中市,和平區,陰,13.0,99
2025-08-05 05:49:28,臺中市,和平區,陰,17.4,95
2025-08-05 05:49:28,臺中市,和平區,陰,26.3,87
2025-08-05 05:49:28,臺中市,和平區,陰,18.9,94
2025-08-05 05:49:28,臺中市,和平區,陰,-99,-99
2025-08-05 05:49:28,臺中市,和平區,陰,25.6,83
2025-08-05 05:49:28,苗栗縣,泰安鄉,陰,17.5,99
2025-08-05 05:49:28,苗栗縣,泰安鄉,陰,-99,-99
2025-08-05 05:49:28,苗栗縣,泰安鄉,陰,19.4,86
2025-08-05 05:49:28,新竹縣,五峰鄉,陰,17.3,99
2025-08-05 05:49:28,新竹縣,五峰鄉,陰,21.6,90
2025-08-05 05:49:28,桃園市,復興區,陰有雷雨,24.4,94
2025-08-05 05:49:28,桃園市,復興區,陰有雷雨,24.6,91
2025-08-05 05:49:28,宜蘭縣,大同鄉,陰有雷雨,22.5,94
2025-08-05 05:49:28,宜蘭縣,大同鄉,陰,28.0,88
2025-08-05 05:49:28,宜蘭縣,大同鄉,陰,19.0,95
2025-08-05 05:49:28,宜蘭縣,大同鄉,陰,19.0,91
2025-08-05 05:49:28,高雄市,大樹區,陰,30.7,73
2025-08-05 05:49:28,新北市,林口區,陰有雷,30.2,79
2025-08-05 05:49:28,臺東縣,太麻里鄉,陰,28.4,84
2025-08-05 05:49:28,臺東縣,臺東市,陰,29.7,77
2025-08-05 05:49:28,臺東縣,東河鄉,陰,30.5,68
2025-08-05 05:49:28,臺東縣,東河鄉,陰,30.8,69
2025-08-05 05:49:28,臺東縣,成功鎮,陰,28.6,85
2025-08-05 05:49:28,臺東縣,成功鎮,陰,30.0,80
2025-08-05 05:49:28,臺東縣,成功鎮,陰,30.4,77
2025-08-05 05:49:28,臺東縣,長濱鄉,陰,29.2,86
2025-08-05 05:49:28,花蓮縣,花蓮市,陰,29.8,78
2025-08-05 05:49:28,花蓮縣,秀林鄉,陰,30.5,77
2025-08-05 05:49:28,花蓮縣,壽豐鄉,陰,31.7,70
2025-08-05 05:49:28,臺中市,大甲區,陰,30.1,75
2025-08-05 05:49:28,彰化縣,和美鎮,陰,29.0,84
2025-08-05 05:49:28,屏東縣,滿州鄉,陰,-99,-99
2025-08-05 05:49:28,屏東縣,滿州鄉,陰,30.3,97
2025-08-05 05:49:28,屏東縣,恆春鎮,陰,30.6,79
2025-08-05 05:49:28,屏東縣,恆春鎮,陰,29.2,85
2025-08-05 05:49:28,屏東縣,車城鄉,陰,30.7,80
2025-08-05 05:49:28,屏東縣,枋山鄉,陰,29.7,77
2025-08-05 05:49:28,臺南市,將軍區,陰,28.5,91
2025-08-05 05:49:28,屏東縣,枋寮鄉,陰,30.1,83
2025-08-05 05:49:28,屏東縣,佳冬鄉,陰,29.6,83
2025-08-05 05:49:28,高雄市,林園區,陰,28.8,89
2025-08-05 05:49:28,高雄市,小港區,陰,30.3,82
2025-08-05 05:49:28,高雄市,梓官區,陰,28.5,88
2025-08-05 05:49:28,高雄市,彌陀區,陰,28.7,92
2025-08-05 05:49:28,高雄市,彌陀區,陰,29.8,88
2025-08-05 05:49:28,高雄市,茄萣區,陰,29.8,83
2025-08-05 05:49:28,臺南市,安南區,陰,28.7,92
2025-08-05 05:49:28,臺南市,安南區,陰,28.9,91
2025-08-05 05:49:28,臺南市,北門區,陰,-99,-99
2025-08-05 05:49:28,臺南市,北門區,陰,-99,-99
2025-08-05 05:49:28,高雄市,前鎮區,陰,29.6,83
2025-08-05 05:49:28,新北市,貢寮區,陰,31.3,79
2025-08-05 05:49:28,澎湖縣,七美鄉,陰,28.3,93
2025-08-05 05:49:28,澎湖縣,望安鄉,陰,28.3,92
2025-08-05 05:49:28,澎湖縣,湖西鄉,陰,28.5,94
2025-08-05 05:49:28,連江縣,北竿鄉,陰,28.0,90
2025-08-05 05:49:28,金門縣,烈嶼鄉,陰,27.8,87
2025-08-05 05:49:28,屏東縣,新埤鄉,陰,31.1,70
2025-08-05 05:49:28,苗栗縣,通霄鎮,陰,29.1,84
2025-08-05 05:49:28,屏東縣,內埔鄉,陰,31.9,66
2025-08-05 05:49:28,臺北市,士林區,陰有雷,31.0,74
2025-08-05 05:49:28,宜蘭縣,頭城鎮,陰有雷,29.3,90
2025-08-05 05:49:28,宜蘭縣,頭城鎮,陰,30.7,81
2025-08-05 05:49:28,基隆市,安樂區,陰有雷,29.7,87
2025-08-05 05:49:28,新北市,萬里區,陰有雷,28.9,92
2025-08-05 05:49:28,新北市,淡水區,陰有雷,29.4,84
2025-08-05 05:49:28,桃園市,大園區,陰,31.5,68
2025-08-05 05:49:28,桃園市,新屋區,陰,31.2,73
2025-08-05 05:49:28,新北市,石門區,陰有雷雨,26.9,92
2025-08-05 05:49:28,桃園市,觀音區,陰,31.4,69
2025-08-05 05:49:28,新竹市,北區,陰,29.4,85
2025-08-05 05:49:28,新竹市,香山區,陰,29.6,85
2025-08-05 05:49:28,新北市,瑞芳區,陰有雷,30.1,83
2025-08-05 05:49:28,基隆市,中正區,陰有雷,29.3,90
2025-08-05 05:49:28,新竹縣,新豐鄉,陰,29.1,85
2025-08-05 05:49:28,苗栗縣,後龍鎮,陰,30.3,81
2025-08-05 05:49:28,苗栗縣,通霄鎮,陰,28.8,82
2025-08-05 05:49:28,臺中市,大甲區,陰,28.9,83
2025-08-05 05:49:28,臺中市,大安區,陰,29.5,81
2025-08-05 05:49:28,苗栗縣,竹南鎮,陰,31.5,76
2025-08-05 05:49:28,宜蘭縣,礁溪鄉,陰有雷,28.8,86
2025-08-05 05:49:28,屏東縣,林邊鄉,陰,31.8,74
2025-08-05 05:49:28,新北市,淡水區,陰有雷,30.3,82
2025-08-05 05:49:28,新北市,三芝區,陰有雷,30.4,82
2025-08-05 05:49:28,桃園市,觀音區,陰,30.0,72
2025-08-05 05:49:28,宜蘭縣,蘇澳鎮,陰,30.5,79
2025-08-05 05:49:28,宜蘭縣,壯圍鄉,陰有雷,29.8,83
2025-08-05 05:49:28,宜蘭縣,頭城鎮,陰有雷,31.2,80
2025-08-05 05:49:28,彰化縣,伸港鄉,陰,28.9,88
2025-08-05 05:49:28,臺中市,龍井區,陰,28.8,87
2025-08-05 05:49:28,彰化縣,福興鄉,陰,28.5,89
2025-08-05 05:49:28,彰化縣,大城鄉,陰,28.8,86
2025-08-05 05:49:28,雲林縣,口湖鄉,陰,28.1,93
2025-08-05 05:49:28,嘉義縣,布袋鎮,陰,29.2,87
2025-08-05 05:49:28,新北市,板橋區,陰有雷,-99,-99
2025-08-05 05:49:28,連江縣,莒光鄉,陰,28.2,87
2025-08-05 05:49:28,澎湖縣,西嶼鄉,陰,27.3,96
2025-08-05 05:49:28,澎湖縣,望安鄉,陰,27.5,94
2025-08-05 05:49:28,金門縣,金沙鎮,陰,27.7,87
2025-08-05 05:49:28,金門縣,金寧鄉,陰,27.5,88
2025-08-05 05:49:28,金門縣,烏坵鄉,陰有雨,26.4,96
2025-08-05 05:49:28,臺北市,松山區,陰有雷雨,27.4,90
2025-08-05 05:49:28,苗栗縣,後龍鎮,陰,31.1,73
2025-08-05 05:49:28,雲林縣,虎尾鎮,陰,30.3,79
2025-08-05 05:49:28,桃園市,龜山區,陰有雷,30.0,68
