時間,縣市,鄉鎮,天氣,氣溫(°C),濕度(%)
2025-08-05 06:38:01,新北市,八里區,陰有雷,24.0,96
2025-08-05 06:38:01,花蓮縣,秀林鄉,陰,24.2,85
2025-08-05 06:38:01,花蓮縣,秀林鄉,陰,29.8,80
2025-08-05 06:38:01,花蓮縣,秀林鄉,陰,23.2,93
2025-08-05 06:38:01,臺中市,和平區,陰,18.8,92
2025-08-05 06:38:01,臺中市,和平區,陰,-99,-99
2025-08-05 06:38:01,臺中市,和平區,陰,14.6,96
2025-08-05 06:38:01,臺中市,和平區,陰,13.2,99
2025-08-05 06:38:01,臺中市,和平區,陰,18.1,93
2025-08-05 06:38:01,臺中市,和平區,陰,27.6,82
2025-08-05 06:38:01,臺中市,和平區,陰,20.1,94
2025-08-05 06:38:01,臺中市,和平區,陰,-99,-99
2025-08-05 06:38:01,臺中市,和平區,陰,27.2,77
2025-08-05 06:38:01,苗栗縣,泰安鄉,陰,18.8,91
2025-08-05 06:38:01,苗栗縣,泰安鄉,陰,-99,-99
2025-08-05 06:38:01,苗栗縣,泰安鄉,陰,18.2,89
2025-08-05 06:38:01,新竹縣,五峰鄉,陰,17.4,99
2025-08-05 06:38:01,新竹縣,五峰鄉,陰,20.5,95
2025-08-05 06:38:01,桃園市,復興區,陰有雷,24.1,94
2025-08-05 06:38:01,桃園市,復興區,陰有雷雨,21.8,93
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰有雷雨,21.7,96
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰,26.8,92
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰,18.5,91
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰,19.6,94
2025-08-05 06:38:01,高雄市,大樹區,陰,31.0,73
2025-08-05 06:38:01,新北市,林口區,陰有雷,28.3,79
2025-08-05 06:38:01,臺東縣,太麻里鄉,多雲,29.2,81
2025-08-05 06:38:01,臺東縣,臺東市,多雲,29.7,78
2025-08-05 06:38:01,臺東縣,東河鄉,陰,29.9,76
2025-08-05 06:38:01,臺東縣,東河鄉,陰,30.8,70
2025-08-05 06:38:01,臺東縣,成功鎮,陰,28.8,81
2025-08-05 06:38:01,臺東縣,成功鎮,陰,30.1,70
2025-08-05 06:38:01,臺東縣,成功鎮,陰,31.4,66
2025-08-05 06:38:01,臺東縣,長濱鄉,陰,30.2,83
2025-08-05 06:38:01,花蓮縣,花蓮市,陰,31.5,72
2025-08-05 06:38:01,花蓮縣,秀林鄉,陰,30.9,76
2025-08-05 06:38:01,花蓮縣,壽豐鄉,陰,31.7,74
2025-08-05 06:38:01,臺中市,大甲區,陰,30.1,75
2025-08-05 06:38:01,彰化縣,和美鎮,陰,29.9,77
2025-08-05 06:38:01,屏東縣,滿州鄉,陰,32.3,69
2025-08-05 06:38:01,屏東縣,滿州鄉,陰,30.1,96
2025-08-05 06:38:01,屏東縣,恆春鎮,陰,30.5,79
2025-08-05 06:38:01,屏東縣,恆春鎮,陰,29.4,85
2025-08-05 06:38:01,屏東縣,車城鄉,陰,30.4,79
2025-08-05 06:38:01,屏東縣,枋山鄉,陰,30.0,78
2025-08-05 06:38:01,臺南市,將軍區,陰,28.6,91
2025-08-05 06:38:01,屏東縣,枋寮鄉,陰,30.9,80
2025-08-05 06:38:01,屏東縣,佳冬鄉,陰,29.9,83
2025-08-05 06:38:01,高雄市,林園區,陰,29.8,85
2025-08-05 06:38:01,高雄市,小港區,陰,29.4,85
2025-08-05 06:38:01,高雄市,梓官區,陰,28.3,89
2025-08-05 06:38:01,高雄市,彌陀區,陰,28.6,92
2025-08-05 06:38:01,高雄市,彌陀區,陰,29.6,90
2025-08-05 06:38:01,高雄市,茄萣區,陰,29.7,84
2025-08-05 06:38:01,臺南市,安南區,陰,28.8,91
2025-08-05 06:38:01,臺南市,安南區,陰,28.9,90
2025-08-05 06:38:01,臺南市,北門區,陰,-99,-99
2025-08-05 06:38:01,臺南市,北門區,陰,-99,-99
2025-08-05 06:38:01,高雄市,前鎮區,陰,29.7,83
2025-08-05 06:38:01,新北市,貢寮區,陰有雷,29.7,84
2025-08-05 06:38:01,澎湖縣,七美鄉,陰,28.0,93
2025-08-05 06:38:01,澎湖縣,望安鄉,陰,27.9,93
2025-08-05 06:38:01,澎湖縣,湖西鄉,陰,28.4,93
2025-08-05 06:38:01,連江縣,北竿鄉,陰,29.0,83
2025-08-05 06:38:01,金門縣,烈嶼鄉,陰有雨,26.7,94
2025-08-05 06:38:01,屏東縣,新埤鄉,陰,31.1,74
2025-08-05 06:38:01,苗栗縣,通霄鎮,陰,28.5,87
2025-08-05 06:38:01,屏東縣,內埔鄉,陰,32.1,68
2025-08-05 06:38:01,臺北市,士林區,陰有雷雨,26.1,100
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,28.9,91
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,30.2,80
2025-08-05 06:38:01,基隆市,安樂區,陰有雷雨,28.1,91
2025-08-05 06:38:01,新北市,萬里區,陰有雷雨,27.5,100
2025-08-05 06:38:01,新北市,淡水區,陰有雷,28.0,83
2025-08-05 06:38:01,桃園市,大園區,陰有雷,30.1,75
2025-08-05 06:38:01,桃園市,新屋區,陰,30.0,78
2025-08-05 06:38:01,新北市,石門區,陰有雷雨,25.5,94
2025-08-05 06:38:01,桃園市,觀音區,陰,30.2,76
2025-08-05 06:38:01,新竹市,北區,陰,28.7,88
2025-08-05 06:38:01,新竹市,香山區,陰,28.8,90
2025-08-05 06:38:01,新北市,瑞芳區,陰有雷,29.8,84
2025-08-05 06:38:01,基隆市,中正區,陰有雷雨,29.1,88
2025-08-05 06:38:01,新竹縣,新豐鄉,陰,28.7,88
2025-08-05 06:38:01,苗栗縣,後龍鎮,陰,29.2,84
2025-08-05 06:38:01,苗栗縣,通霄鎮,陰,28.6,84
2025-08-05 06:38:01,臺中市,大甲區,陰,29.0,83
2025-08-05 06:38:01,臺中市,大安區,陰,29.4,80
2025-08-05 06:38:01,苗栗縣,竹南鎮,陰,30.4,82
2025-08-05 06:38:01,宜蘭縣,礁溪鄉,陰有雷,26.2,86
2025-08-05 06:38:01,屏東縣,林邊鄉,陰,32.0,75
2025-08-05 06:38:01,新北市,淡水區,陰有雷,29.0,81
2025-08-05 06:38:01,新北市,三芝區,陰有雷,29.5,81
2025-08-05 06:38:01,桃園市,觀音區,陰,29.3,76
2025-08-05 06:38:01,宜蘭縣,蘇澳鎮,陰,30.5,75
2025-08-05 06:38:01,宜蘭縣,壯圍鄉,陰有雷,29.7,84
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,30.3,83
2025-08-05 06:38:01,彰化縣,伸港鄉,陰,29.6,85
2025-08-05 06:38:01,臺中市,龍井區,陰,29.9,81
2025-08-05 06:38:01,彰化縣,福興鄉,陰,29.5,83
2025-08-05 06:38:01,彰化縣,大城鄉,陰,29.0,86
2025-08-05 06:38:01,雲林縣,口湖鄉,陰,28.5,92
2025-08-05 06:38:01,嘉義縣,布袋鎮,陰,29.3,87
2025-08-05 06:38:01,新北市,板橋區,陰有雷雨,25.9,90
2025-08-05 06:38:01,連江縣,莒光鄉,陰,27.5,88
2025-08-05 06:38:01,澎湖縣,西嶼鄉,陰,27.5,95
2025-08-05 06:38:01,澎湖縣,望安鄉,陰,27.5,94
2025-08-05 06:38:01,金門縣,金沙鎮,陰,28.2,86
2025-08-05 06:38:01,金門縣,金寧鄉,陰,27.3,91
2025-08-05 06:38:01,金門縣,烏坵鄉,陰有雨,26.5,96
2025-08-05 06:38:01,臺北市,松山區,陰有雷雨,25.4,100
2025-08-05 06:38:01,苗栗縣,後龍鎮,陰,30.2,77
2025-08-05 06:38:01,雲林縣,虎尾鎮,陰,29.7,78
2025-08-05 06:38:01,桃園市,龜山區,陰有雷,26.4,80
2025-08-05 06:38:01,基隆市,中正區,陰有雷,27.9,100
2025-08-05 06:38:01,臺東縣,蘭嶼鄉,陰,29.9,86
2025-08-05 06:38:01,臺東縣,蘭嶼鄉,陰,28.2,92
2025-08-05 06:38:01,新北市,石門區,陰有雷,29.0,85
2025-08-05 06:38:01,高雄市,甲仙區,陰,29.4,81
2025-08-05 06:38:01,桃園市,大溪區,陰有雷,27.8,81
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰有雷,26.1,84
2025-08-05 06:38:01,宜蘭縣,五結鄉,陰有雷,30.5,76
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰,19.6,100
2025-08-05 06:38:01,宜蘭縣,大同鄉,陰,24.8,86
2025-08-05 06:38:01,宜蘭縣,員山鄉,陰有雷雨,24.5,99
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,30.0,85
2025-08-05 06:38:01,宜蘭縣,礁溪鄉,陰有雷雨,23.9,94
2025-08-05 06:38:01,宜蘭縣,三星鄉,陰有雷,29.0,80
2025-08-05 06:38:01,宜蘭縣,員山鄉,陰有雷,29.6,81
2025-08-05 06:38:01,宜蘭縣,冬山鄉,陰,30.4,75
2025-08-05 06:38:01,宜蘭縣,礁溪鄉,陰有雷,29.9,82
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,27.0,90
2025-08-05 06:38:01,新北市,貢寮區,陰有雷,30.9,76
2025-08-05 06:38:01,宜蘭縣,羅東鎮,陰有雷,30.5,76
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,21.5,96
2025-08-05 06:38:01,宜蘭縣,壯圍鄉,陰有雷,29.4,84
2025-08-05 06:38:01,宜蘭縣,頭城鎮,陰有雷,23.4,97
2025-08-05 06:38:01,花蓮縣,秀林鄉,陰,28.8,72
2025-08-05 06:38:01,花蓮縣,壽豐鄉,陰,32.0,75
2025-08-05 06:38:01,花蓮縣,壽豐鄉,陰,29.3,84
